Unrealized P&L (%),Position,Avg Price,Market Value,Last,Change %,Daily P&L,Financial Instrument,Cost Basis,Dividend Date,Dividend Yield TTM %,P/E,Total debt/total equity,LT debt/equity,Current ratio,Price/Tang.Book Ratio,Price/Book,Market Cap,Return on investment %,Return on Equity %,Payout ratio %,Symbol,Trading Currency,
"15,228 (76.2%)","1,700",11.763,"35,224",20.72,0.030845771144278656,"1,054",PHOR LSEIOB1,"19,996",09/23/2021,,,,,,,,,,,,PHOR,USD,
"30,920 (310.0%)","12,900",0.774,"40,893",3.200,0.028938906752411675,774,GLO TSE,"9,973",,,,0.0,0.0,10.32941,8.291395119167218,8.215386467820196,518688969.0751815,-4.02909,-4.02909,,GLO,CAD,
"13,079 (83.1%)","3,100",5.076,"28,815",9.29,0.014737991266375523,419,OGZPY,"15,735",07/20/2022,0.036436148466917694,7.514858694854878,33.35504,29.29217,1.48726,0.5397034324685331,0.5331675669036974,110343050434.00461,5.52743,7.42519,0.0,OGZPY,USD,
"2,060 (9.6%)",155,138.37,"23,507",151.66,0.01349906442127761,313,RSP,"21,447",,0.013620400896742714,,0.0,0.0,,1.8292048940691092,1.9268069499147105,17925432154.154053,1.70923,1.70923,106.7869,RSP,USD,
"1,935 (23.9%)",150,53.901,"10,020",66.81,0.022028453418999505,215,RIO,"8,085",03/03/2022,0.10252956144289777,5.7972882596173925,25.49882,24.45304,2.13357,2.2003443484330405,2.0416658659887292,108302995186.49979,25.52082,40.7076,83.12906,RIO,USD,
"2,528 (50.6%)",838,5.959,"7,521",8.970,0.02280501710376295,172,LUN TSE,"4,993",12/02/2021,0.027870680044593085,10.706069127548183,3.33941,0.51323,1.77935,1.6534948915777894,1.5593064849486233,6598119149.882109,11.29972,15.69686,18.54074,LUN,CAD,
"1,861 (18.1%)",45,228.574,"12,147",269.93,0.018757548309178848,224,SMH,"10,286",12/20/2021,0.00556514651946801,,,,,,,,,,,SMH,USD,
"8,731 (109.5%)",215,37.097,"16,707",77.71,0.007781091946569946,128,BG,"7,976",11/17/2021,0.026058422339467247,5.862298725223652,100.1253,74.24833,1.7009,1.80437645024787,1.5111007832411028,11012111813.764505,17.19332,36.56052,14.40763,BG,USD,
46 (0.8%),170,34.155,"5,852",34.42,0.027769483427888913,159,COPX,"5,806",12/29/2021,0.014058744915746659,,,,,,,,,,,COPX,USD,
"1,297 (19.1%)",150,45.236,"8,082",53.88,0.017371601208459247,138,AIG,"6,785",12/10/2021,0.023756495916852263,11.303751568496047,54.06383,53.92764,,0.6972759881430163,0.7022102405066937,46078307137.019684,0.7473661,6.55846,26.38889,AIG,USD,
"5,697 (17.2%)",915,36.134,"38,759",42.36,0.006414825374198052,247,KL,"33,062",09/28/2021,0.016229933899905572,10.681274558355724,0.46772,0.35094,2.89547,1.693048276713695,1.6677030073318058,11300925135.002066,13.04515,16.72143,21.97618,KL,USD,
701 (9.2%),60,126.454,"8,288",138.11,0.02167480396508364,177,AMAT,"7,587",11/24/2021,0.0066613568894359565,24.00177946510772,45.199,45.199,2.97522,14.733785441676721,10.342573525094794,124721544037.47476,29.28808,49.073,15.77162,AMAT,USD,
"-1,141 (-7.8%)",165,89.031,"13,549",82.11,0.012453760789149086,167,EWY,"14,690",12/16/2021,0.007675898185361102,,0.0,0.0,,1.9964023810466045,1.7054534577487648,6310538229.466038,-33.3978,-33.3978,,EWY,USD,
-241 (-3.0%),35,228.929,"7,771",221.99,0.011159697549421596,88,CMI,"8,013",11/17/2021,0.024775890805892157,14.920068070312901,49.97457,46.02085,1.80663,5.660664569659085,4.056341167317547,31886536982.456127,16.24723,29.28676,35.73696,CMI,USD,
-919 (-13.7%),470,14.327,"5,814",12.38,0.010612244897959247,56,SILJ,"6,733",12/28/2021,0.01615508885298869,,,,,,,,,,,SILJ,USD,
"16,093 (185.8%)",300,28.867,"24,753",82.51,0.001942926533090426,48,URNM,"8,660",12/27/2021,0.0133844382499091,,,,,,,,,,,URNM,USD,
"5,215 (61.5%)",80,105.915,"13,688",171.10,0.0041079812206572105,56,SCATC OSE @OSE,"8,473",04/19/2022,,,216.8313,207.4609,2.31895,3.08776,2.99549,27070430000.00,-1.71915,-7.16978,,SCATC,NOK,
"2,225 (12.5%)","4,900",3.621,"19,968",4.08,-0.0012254901960784053,-24,AUY,"17,743",09/29/2021,0.02361963190184049,22.99401540658287,22.72136,18.36618,1.7085,0.984861534784822,0.8993664407472984,3924266764.849775,1.68083,3.93809,54.96454,AUY,USD,
"-3,598 (-94.4%)","3,300",1.156,215,C0.065,,0,RTI VENTURE,"3,813",,,,158.5745,11.80651,0.16334,3.1666198838490707,2.3272599146366115,28285668.96248781,-135.6924,-168.3445,,RTI,CAD,
-119 (-3.8%),100,31.71,"3,052",30.51,0.0013127666557270332,5,GDX,"3,171",12/22/2021,0.006224188790560472,,0.0,0.0,,2.3749390240663155,1.6561329218671643,13051338787.155792,-15.00634,-15.00634,,GDX,USD,
"-1,794 (-25.1%)",290,24.618,"5,345",18.43,-0.0032449972958357096,-17,GOLD,"7,139",11/29/2021,0.03478138903960933,10.164870563755164,21.74849,21.68517,4.47108,1.3632698055666845,1.0802606354339703,32777871455.087856,10.86883,11.00588,24.5628,GOLD,USD,
"-4,517 (-4.4%)","3,200",31.831,"97,341",30.42,0.008620689655172466,829,TMF,"101,858",12/21/2021,0.02370315581854043,,,,,,,,,,,TMF,USD,
-364 (-2.3%),575,27.694,"15,560",27.06,-0.06237006237006227,-896,VXX,"15,924",,,,,,,,,,,,,VXX,USD,
